avaliacao,ano,etapa,escola,turma,disciplina,habilidade,percentual,proficiencia,frequencia
AvaliaRJ - ALFABETIZA RJ 2026,2026,ENSINO FUNDAMENTAL DE 9 ANOS - 2o ANO,33038244,TURMA 200,LP,H 01,90.0,,
AvaliaRJ - ALFABETIZA RJ 2026,2026,ENSINO FUNDAMENTAL DE 9 ANOS - 2o ANO,33038244,TURMA 200,LP,,80.0,610.0,
